Box #,Emergence.date,Entered by,Tube.ID,Individual.ID,Site,Original.Host,Tree.Species,Tree.ID,Branch.ID,Sex,Abdomen.length,Tibia.length,Wing.length,On mother tree y/n,Notes
1,10/28/17,IC,1,,LL,Qg,Qv,12,,Asexual,1.616,1.043,2.265,N,Swollen abdomen
1,10/24/17,IC,2,,LL,Qg,Qv,49,2,Asexual,1.88,1.228,2.575,N,"Very swollen abdomen, part of head missing, white residue found on underside of thorax (shown in picture"
1,10/24/17,IC,3,,LL,Qg,Qg,72,2,Asexual,1.841,1.181,2.616,Y,Something protruding from head
1,,IC,4,,LL,Qg,Qg,72,3,Asexual,,,,Y,No individual in tube
1,10/24/17,IC,5,,LL,Qg,Qv,12,3,Asexual,1.653,1.009,2.091,N,
1,10/25/17,IC,6,,Dick,Qg,Qv,22,5,Asexual,1.658,0.974,,N,"Individual is very pale, wings very shriveled and can't be used "
1,10/25/17,IC,11,,ABS,Qg,Qv,33,3,Asexual,2.066,1.314,2.91,N,
1,11/17/17,IC,24,a,LL,Qg,Qv,49,unlabeled,Asexual,1.229,0.932,1.835,N,"4 individuals in tube, 3 have enlarged abdomens and one does not. wing broke during removal, size estimated by adding broken part with part still on animal"
1,11/17/17,IC,24,b,LL,Qg,Qv,49,unlabeled,Asexual,1.496,0.923,2.12,N,"4 individuals in tube, 3 have enlarged abdomens and one does not. wing partially cut off, may have short measurement"
1,11/18/17,IC,29,a,LL,Qg,Qv,44,unlabeled,Asexual,1.483,1.056,2.158,N,
1,,IC,48,,LL,Qg,Qg,72,5,Asexual,,,,Y,Individual in tube broken apart
1,,IC,49,,LL,Qg,Qg,72,2,Asexual,,,,Y,Individual not suitable for measurement
1,11/19/17,IC,50,a,LL,Qg,Qg,72,fall leaf,Asexual,1.43,1.039,2.182,Y,
1,11/19/17,IC,51,a,LL,Qg,Qg,72,3,Asexual,1.317,0.832,1.994,Y,
1,11/19/17,IC,51,b,LL,Qg,Qg,72,3,Asexual,1.444,0.896,2.07,Y,Individual covered in cobweb-like sticky substance
1,11/19/17,IC,54,a,LL,Qg,Qg,72,4b,Asexual,1.3,0.978,2.13,Y,"Wing broke during removal, size estimated by measuring two parts and adding"
1,11/19/17,IC,54,b,LL,Qg,Qg,72,4b,Asexual,1.541,1.11,2.354,Y,
1,11/19/17,IC,56,a,LL,Qg,Qg,72,2,Asexual,1.581,0.966,2.321,Y,
1,11/19/17,IC,56,b,LL,Qg,Qg,72,2,Asexual,1.192,0.785,1.603,Y,
1,,IC,60,,LL,Qg,Qg,72,2,Asexual,,,,Y,Individual not suitable for measurement
1,11/20/17,IC,69,,Dick,Qg,Qv,22,5,Asexual,0.946,0.73,1.426,N,
1,11/20/17,IC,77,a,LL,Qg,Qv,49,unlabeled,Asexual,1.794,1.233,2.582,N,
1,11/20/17,IC,78,a,LL,Qg,Qv,49,unlabeled,Asexual,1.33,0.983,2.049,N,Abdomen fell off during removal
